time,tavg,tmin,tmax,prcp
2015-01-01,26.1,21.9,30.1,
2015-01-02,26.8,22.2,,0.5
2015-01-03,26.9,23.0,,0.0
2015-01-04,26.0,22.4,30.9,
2015-01-05,26.2,22.6,,
2015-01-06,25.7,21.2,,
2015-01-07,25.3,21.6,30.4,
2015-01-08,25.6,21.7,30.2,
2015-01-09,24.8,,29.8,
2015-01-10,24.3,17.9,29.2,
2015-01-11,24.3,,29.1,
2015-01-12,23.6,,,
2015-01-13,23.9,18.3,29.2,
2015-01-14,23.3,18.8,29.2,
2015-01-15,24.8,18.7,29.8,
2015-01-16,25.1,21.1,29.8,
2015-01-17,24.5,,29.5,0.0
2015-01-18,23.8,,29.5,
2015-01-19,24.0,19.0,29.2,
2015-01-20,24.2,19.0,29.2,
2015-01-21,24.3,19.1,29.4,
2015-01-22,25.1,20.4,29.4,0.0
2015-01-23,25.5,22.4,,0.5
2015-01-24,25.1,,,0.0
2015-01-25,25.1,19.5,29.3,3.0
2015-01-26,25.3,,,0.0
2015-01-27,25.3,21.6,29.6,
2015-01-28,25.5,20.8,29.2,
2015-01-29,26.3,22.0,30.2,
2015-01-30,25.4,,30.2,
2015-01-31,25.3,20.4,,
2015-02-01,25.4,20.5,,
2015-02-02,25.7,21.0,,
2015-02-03,25.4,20.8,30.2,
2015-02-04,25.3,21.3,30.2,
2015-02-05,25.9,,31.4,
2015-02-06,26.0,21.6,31.4,
2015-02-07,26.1,20.3,,
2015-02-08,25.4,20.3,,
2015-02-09,25.2,20.7,30.4,
2015-02-10,24.8,21.0,30.2,
2015-02-11,25.8,21.1,,
2015-02-12,26.1,21.5,31.4,
2015-02-13,26.2,21.8,31.7,
2015-02-14,26.4,20.4,32.0,
2015-02-15,26.8,20.3,,
2015-02-16,26.4,,33.4,
2015-02-17,26.3,20.4,33.2,
2015-02-18,26.2,20.2,33.2,
2015-02-19,25.8,19.8,32.0,
2015-02-20,25.7,20.1,,
2015-02-21,26.1,21.4,,
2015-02-22,26.2,21.4,,
2015-02-23,25.7,,31.6,
2015-02-24,25.7,20.0,,
2015-02-25,25.7,19.6,32.3,
2015-02-26,27.1,21.0,32.3,
2015-02-27,27.8,22.8,32.0,
2015-02-28,27.9,23.8,32.0,
2015-03-01,28.3,24.5,31.6,
2015-03-02,28.2,,31.6,
2015-03-03,28.4,23.4,32.6,
2015-03-04,29.0,23.4,33.4,
2015-03-05,29.2,24.3,33.4,
2015-03-06,28.7,24.3,33.3,
2015-03-07,28.5,,33.1,
2015-03-08,28.3,23.9,33.1,
2015-03-09,28.0,,33.0,
2015-03-10,27.3,22.2,33.0,
2015-03-11,27.7,22.8,32.8,
2015-03-12,28.4,23.9,,
2015-03-13,28.0,24.1,33.1,
2015-03-14,28.8,23.2,33.1,
2015-03-15,28.4,,33.1,
2015-03-16,27.9,,32.8,
2015-03-17,28.0,21.6,33.1,
2015-03-18,28.8,21.1,35.2,
2015-03-19,28.6,21.8,35.2,
2015-03-20,27.9,23.1,34.0,
2015-03-21,29.1,23.0,,
2015-03-22,29.6,23.2,,
2015-03-23,29.4,23.7,36.3,
2015-03-24,29.2,23.7,35.2,
2015-03-25,29.1,23.9,34.3,
2015-03-26,28.7,24.2,33.3,
2015-03-27,29.2,24.3,33.7,
2015-03-28,29.7,24.8,34.5,
2015-03-29,29.8,25.0,34.5,
2015-03-30,30.1,24.8,34.4,
2015-03-31,30.1,26.3,34.3,
2015-04-01,29.8,26.0,34.2,
2015-04-02,30.6,26.0,36.3,
2015-04-03,31.4,25.9,38.0,
2015-04-04,31.4,27.0,38.0,
2015-04-05,31.1,26.7,37.8,
2015-04-06,30.7,26.0,36.8,
2015-04-07,30.6,26.2,35.6,
2015-04-08,30.6,25.6,35.0,
2015-04-09,30.7,26.7,34.8,
2015-04-10,30.1,25.4,,
2015-04-11,30.3,24.7,35.1,
2015-04-12,29.8,25.1,35.1,
2015-04-13,28.3,,,0.5
2015-04-14,29.2,22.0,34.4,0.8
2015-04-15,26.3,23.9,34.4,3.0
2015-04-16,28.9,24.0,,103.1
2015-04-17,29.1,25.0,33.9,0.0
2015-04-18,29.7,24.0,35.3,
2015-04-19,30.2,25.2,35.3,
2015-04-20,30.7,26.1,34.3,
2015-04-21,30.7,,34.7,
2015-04-22,31.3,26.4,35.3,
2015-04-23,31.6,27.3,37.3,
2015-04-24,29.3,,37.3,
2015-04-25,30.0,22.5,35.8,6.1
2015-04-26,30.8,26.9,35.4,0.0
2015-04-27,30.4,,34.6,
2015-04-28,30.7,25.4,35.9,
2015-04-29,31.2,26.6,36.7,
2015-04-30,31.6,27.1,37.1,
2015-05-01,31.9,27.3,37.1,
2015-05-02,32.1,,,
2015-05-03,31.1,24.4,37.7,0.0
2015-05-04,31.1,27.7,35.7,
2015-05-05,30.9,26.7,,
2015-05-06,31.0,26.2,,
2015-05-07,31.4,26.8,,
2015-05-08,31.7,27.1,36.2,
2015-05-09,32.1,26.5,37.0,
2015-05-10,31.8,27.5,37.0,
2015-05-11,31.0,28.3,35.8,
2015-05-12,31.4,27.4,35.2,0.0
2015-05-13,28.4,26.7,35.2,0.0
2015-05-14,29.2,25.9,,7.9
2015-05-15,28.8,26.6,34.1,11.9
2015-05-16,28.3,25.3,34.1,5.1
2015-05-17,29.4,24.6,,5.1
2015-05-18,31.3,24.8,36.8,0.0
2015-05-19,32.5,27.0,38.2,
2015-05-20,33.1,27.4,39.6,
2015-05-21,33.7,27.7,40.0,
2015-05-22,33.5,28.2,40.0,
2015-05-23,33.9,28.5,39.7,
2015-05-24,34.4,29.1,42.3,
2015-05-25,34.6,29.5,42.4,
2015-05-26,33.5,28.2,42.4,
2015-05-27,30.9,,39.6,
2015-05-28,32.6,26.0,,0.0
2015-05-29,32.8,27.0,40.3,
2015-05-30,32.1,27.7,40.3,
